Skills,Category
Baseline,Algorithm
Data classification,Algorithm
Distributed Systems,Algorithm
Enterprise Service Bus,Algorithm
ESB,Algorithm
Fibonacci scale,Algorithm
Finite Element Method,Algorithm
Finite Volume Method,Algorithm
Hybrid analytical processing,Algorithm
Hybrid transactional processing,Algorithm
K-line,Algorithm
Multithreading,Algorithm
Object oriented,Algorithm
Object-oriented,Algorithm
Ontology,Algorithm
Optimization,Algorithm
Parallel programming,Algorithm
Recursive InterNetwork Architecture,Algorithm
Visualization,Algorithm
Word Processing,Algorithm
ANN,"Algorithm,Data science"
Data mining,"Algorithm,Data science"
Data structures,"Algorithm,Data science"
Decision Trees,"Algorithm,Data science"
Deep learning,"Algorithm,Data science"
Distributed Computing,"Algorithm,Data science"
Hibernate,"Algorithm,Data science"
Machine learning,"Algorithm,Data science"
Machine-learning,"Algorithm,Data science"
Natuaral Language Processing,"Algorithm,Data science"
Neural network,"Algorithm,Data science"
Neural Networks,"Algorithm,Data science"
NLP,"Algorithm,Data science"
Object-relational mapping,"Algorithm,Data science"
Predictive modeling,"Algorithm,Data science"
Statistical analysis,"Algorithm,Data science"
Cloud computing,cloud
Cloud services,cloud
Excel,Basic
Microsoft Access,Basic
Microsoft Office,Basic
Microsoft Outlook,Basic
Microsoft Publisher,Basic
Microsoft Word,Basic
MS Access,Basic
MS Outlook,Basic
MS Word,Basic
MS-access,Basic
Powerpoint,Basic
VBA,Basic
Visual Basic,Basic
Windows,Basic
CorelDRAW,Basic 
Linear Regression,Basic 
A-Frame,Data Science
Active learning,Data Science
Alewife,Data Science
Allen,Data Science
Anaconda,Data Science
Ark,Data Science
Beautiful Soup,Data Science
Behavior tree,Data Science
Big data,Data science
Bootstrap,Data science
Cassandra,Data science
Conary,Data Science
Conda,Data Science
Confabulation,Data Science
Cross-validation,Data Science
Cuboid,Data Science
Data Analytics,Data science
data modeling,Data science
Dropout,Data Science
Druid,Data Science
Dynamo,Data Science
Ensemble averaging,Data Science
Error tolerance,Data Science
Feed forward,Data Science
Firebird,Data Science
Flow control,Data Science
FOAF,Data Science
FR-V,Data Science
Frontera,Data Science
Gadfly,Data Science
Gizzard,Data Science
Hadoop,Data science
Hekaton,Data Science
Hibari,Data Science
Ingres,Data Science
JFS,Data Science
Keyspace,Data Science
LEVAN,Data Science
LIDA,Data Science
Logistic Regression,Data science
Lustre,Data Science
M-Theory,Data Science
Macaw,Data Science
MANIC,Data Science
Many-to-many,Data Science
Map Reduce,Data Science
Mathematical Modeling,Data science
Mathematical Modelling,Data science
Meta-Programming,Data science
Micro-Threads,Data Science
Moose,Data Science
NETtalk,Data Science
Nimbus,Data Science
Non-Linear Regression,Data science
NORMA,Data Science
One-to-many,Data Science
One-to-one,Data Science
Pickle,Data Science
Presenter first,Data Science
Probability and Statistics,Data science
QCT,Data Science
Quality of Data,Data Science
Range query,Data Science
Rectifier,Data Science
Research & Analytic,Data science
Research & Analytics,Data science
Research and Analytic,Data science
Research and Analytics,Data science
Rhea,Data Science
scikit-learn,Data science
Scylla,Data Science
Semantic analysis,Data Science
Seriation,Data Science
SESAM,Data Science
Shaheen,Data Science
Spanner,Data Science
SQL Lite,Data science
SQLite3,Data science
Tango,Data Science
Time-Series Analysis,Data science
Torch,Data Science
Transduction,Data Science
WYSIWYM,Data Science
Business Process Modeling,Fintech
Bytecoin,Fintech
Crowdfunding,Fintech
Cryptocurrency,Fintech
Dashboard,Fintech
Equity Derivative Modeling,Fintech
Financial Analysis,Fintech
Financial intelligence,Fintech
Finite Difference Method,Fintech
Fintech,Fintech
Go Software,Fintech
Gulden,Fintech
Historical simulation,Fintech
Risk Modeling,Fintech
Sidechain,Fintech
Smart finance management,Fintech
Stochastic modelling,Fintech
